CFTR
MCUB
CACNG3
CACNA1G
SCN4A
CACNA2D2
PKD1
CLCN6
GABRA3
GABRA1
KCNG1
BEST2
ANO2
MCUR1
KCNQ1
KCNH2
MCOLN3
CACNB1
TRPC7
KCNAB2
CNGB1
TRPM5
ASIC4
TRPC5
PANX2
CLCN4
CLNS1A
ANO8
KCNQ2
CACNG5
CACNG4
VDAC3
PKD2L2
CHRNA3
KCNN2
CACNA1S
KCNK2
TRPM3
P2RX5
AQP6
P2RX7
KCNH4
MCOLN1
TRPM7
GABRP
KCNK16
ITPR3
KCNK6
CATSPERG
HCN2
P2RX6
CACNA1I
KCNK10
CHRNA4
GLRA2
CACNA1F
KCND1
GABRE
NALCN
CLCN7
PIEZO1
AQP8
AQP9
TRPA1
KCNN4
KCNA7
GRIN2D
CACNG7
KCNN1
SCN1B
GRIK5
KCNT1
PKD2L1
MICU1
P2RX1
CHRNE
ASIC2
CACNG1
GABRA4
CLCN3
STIM2
GLRB
P2RX3
PANX1
ASIC1
TRPV4
KCNA1
SCNN1A
GABRR2
CLIC5
GABRG2
CLCN2
KCNIP3
KCNJ13
GRIN3B
KCNC4
KCNQ4
CHRNB4
PKD2
TRPM6
KCNIP2
GRIA2
KCNJ5
CHRNA2
KCNJ8
GJA8
GJB6
GJA3
HVCN1
ITPR2
KCNJ2
KCNS1
KCNK15
KCNK17
GRIA3
BEST3
TRPV5
KCNC1
CHRNA10
KCNA5
DPP6
CACNG6
TRPM4
PKDREJ
GJA9
KCNC3
ANO1
CNGA4
TRPC4
CATSPERB
TRPM1
ANO3
P2RX4
GJA10
MIP
KCNH3
KCNMB4
KCNK1
CHRND
SCN2A
SCN7A
LRRC8A
TRPC6
CHRNA1
HCN4
TRPC3
KCNH5
CACNA1A
TRPM2
CACNG8
BEST4
KCNA10
KCNH1
AQP10
KCNN3
HCN3
CNGA3
SCN1A
TRPM8
TRPC1
GLRA3
GABRA6
GABRB2
GLRA1
KCNMB1
ANO7
GABRR1
CHRNB3
CHRNA6
CACNA1B
HTR3B
GRIK4
SCN2B
ITPR1
CACNA2D4
CACNA1C
KCNA6
ANO4
KCNJ1
GABRA2
KCNE4
GRID2
KCNK13
GRIA4
GJA1
CATSPER3
SCN3A
KCNJ16
MCOLN2
CACNA2D1
PANX3
PIEZO2
GRIA1
CLIC2
MICU3
MCU
KCNMA1
KCNS2
CACNA1D
CACNA2D3
KCNJ6
KCNJ15
KCNB1
PKD1L1
KCNE2
CLIC6
GJD2
CHRNB2
ANO10
ORAI2
GRIN2C
AQP5
TPCN2
BSND
SCNN1D
KCNT2
KCNJ9
KCNF1
KCNJ3
GABRG1
GABRB1
GRIK3
GJB7
GRIK2
HCN1
KCNK5
KCNV1
TRPV6
AQP7
AQP3
GJB2
MICU2
VDAC2
CACNB2
KCNC2
GABRB3
SCN3B
PKD1L2
HTR3A
CATSPER2
SCNN1G
CACNG2
STIM1
CACNB3
AQP2
TRPV3
BEST1
KCNJ4
KCNV2
SCN11A
KCNG4
SCNN1B
KCNAB1
KCNK9
SCN9A
CLIC4
GJB1
CLIC3
