ATP2B1
ATP2B4
ATP2C1
ATP2A2
SLC8A1
SLC8B1
ITPR1
ITPR2
ITPR3
TPCN1
TPCN2
MCOLN1
MCOLN2
MCOLN3
STIM1
STIM2
ORAI1
ORAI2
ORAI3
TRPC1
MCU
MCUB
MCUR1
MICU1
MICU2
MICU3
