CLCN2
CLCN3
CLCN4
CLCN5
CLCN6
CLCN7
CLIC1
CLIC3
CLIC4
CLNS1A
ADORA2A
ADORA2B
P2RX4
P2RY11
CHRNA5
CHRNB1
ADRB2
HRH1
PIEZO1
PKD1
PKD2
