ADORA2A
ADORA2B
P2RX4
P2RY11
PANX1
GJA1
GJC1
GJC1
GJC2
TRPC1
TRPM2
TRPM4
TRPM7
TRPV1
TRPV2
ANO10
ANO6
GLRB
CLCN2
CLCN3
CLCN4
CLCN5
CLCN6
CLCN7
CLIC1
CLIC3
CLIC4
CLNS1A
EGFR
FGFR1
PDGFRB
