AQP3
ATP1A1
ATP1B1
ATP1B3
LRRC8A
LRRC8C
LRRC8D
LRRC8E
SLC4A4
SLC4A7
HVCN1
SLC20A1
SLC20A2
SLC12A4
SLC12A6
SLC12A9
SLC24A1
SLC26A11
SLC26A2
SLC26A6
SLC8B1
SLC9A1
SLC9A6
SLC9A7
SLC9A8
SLC9B2
NALCN
ATP6V0A1
ATP6V0A2
ATP6V0B
ATP6V0C
ATP6V0D1
ATP6V0E1
ATP6V0E2
ATP6V1A
ATP6V1B2
ATP6V1C1
ATP6V1D
ATP6V1E1
ATP6V1E2
ATP6V1F
ATP6V1G1
ATP6V1H
